farmers_ahead,total_qty_ahead_kg,quantity_kg,crop_type,produce_quality_grade,active_counters,staff_present,center_daily_capacity_quintals,vehicle_type,slot_hour,day_of_week,is_harvest_peak_season,weather_condition,actual_wait_time_minutes
4,5500,980,Wheat,Grade A,3,8,2500,Tractor Trolley,15,0,1,Light Rain,26.3
7,7600,1280,Wheat,Grade B,3,9,1000,Tractor Trolley,12,2,0,Clear,33.4
4,5300,1550,Wheat,Grade A,1,2,4000,Mini Truck (Pickup),10,4,1,Clear,58.1
5,5400,1050,Soybean,Grade A,2,4,500,Tractor Trolley,14,5,0,Overcast,38.2
8,7700,450,Wheat,Grade A,2,4,500,Tractor Trolley,13,1,0,Overcast,54.4
3,2900,2200,Wheat,Grade B,1,5,2500,Tractor Trolley,16,2,0,Clear,29.5
9,11500,2610,Mustard,Grade B,3,6,1500,Tractor Trolley,12,0,0,Heavy Rain,94.7
7,9300,1210,Paddy,Grade B,4,10,1000,Tractor Trolley,11,5,1,Overcast,34.5
6,8400,3880,Cotton,Grade B,3,10,1000,Truck (6-Wheeler),10,0,0,Clear,46.6
4,3800,1160,Wheat,Grade A,4,6,500,Tractor Trolley,15,1,0,Clear,18.7
4,5000,600,Chana,Grade A,3,4,2500,Tractor Trolley,15,2,1,Clear,25.3
5,5000,1140,Soybean,Grade A,3,5,1500,Tractor Trolley,15,5,1,Overcast,37.5
4,3700,4110,Soybean,Grade A,4,9,2500,Mini Truck (Pickup),15,1,1,Clear,12.4
7,6800,1810,Paddy,Grade A,5,11,1000,Tractor Trolley,12,4,0,Overcast,27.9
12,12900,920,Maize,Grade B,4,11,1000,Mini Truck (Pickup),10,0,1,Clear,44.7
5,5800,480,Wheat,Grade B,2,4,1000,Tractor Trolley,14,1,0,Clear,31.1
5,6800,1180,Wheat,Grade A,5,11,1000,Mini Truck (Pickup),12,5,0,Overcast,13.6
11,11900,1900,Wheat,Grade B,2,2,500,Tractor Trolley,11,3,1,Clear,120.6
3,3800,900,Cotton,Grade B,2,5,1500,Tractor Trolley,15,1,1,Overcast,30.2
2,1900,2280,Paddy,Grade A,3,6,1500,Mini Truck (Pickup),16,5,0,Clear,10.1
7,10300,800,Cotton,Grade A,3,3,2500,Mini Truck (Pickup),14,1,0,Clear,50.5
7,8700,530,Wheat,Grade A,1,4,1000,Mini Truck (Pickup),11,0,0,Clear,62.4
9,12600,420,Paddy,Grade A,4,7,4000,Tractor Trolley,12,0,1,Clear,49.7
13,17100,1240,Mustard,Grade A,4,5,2500,Tractor Trolley,10,5,1,Clear,78.9
4,5100,880,Paddy,Grade C (High Moisture),4,9,1000,Bullock Cart,16,0,1,Clear,23.4
14,14300,660,Mustard,Grade A,3,8,1500,Tractor Trolley,11,3,1,Clear,72.0
10,13900,2030,Wheat,Grade B,2,11,1000,Tractor Trolley,13,5,1,Clear,59.5
8,10900,2510,Maize,Grade A,4,8,1000,Bullock Cart,15,0,1,Heavy Rain,69.4
15,15500,1400,Cotton,Grade A,4,9,500,Mini Truck (Pickup),10,3,1,Clear,68.6
12,14100,1060,Wheat,Grade B,4,10,1000,Tractor Trolley,10,1,1,Clear,47.4
13,15300,470,Wheat,Grade A,3,6,1000,Mini Truck (Pickup),12,4,1,Overcast,58.8
10,12700,1540,Mustard,Grade B,3,6,4000,Truck (6-Wheeler),10,1,1,Clear,90.4
4,4800,5000,Maize,Grade A,1,5,500,Tractor Trolley,9,1,0,Overcast,43.3
9,10400,1330,Paddy,Grade C (High Moisture),2,3,1500,Tractor Trolley,13,5,1,Clear,135.1
4,4300,1250,Wheat,Grade A,3,4,2500,Tractor Trolley,15,3,0,Clear,26.4
9,11400,2150,Soybean,Grade A,3,6,1000,Tractor Trolley,11,4,0,Clear,48.3
5,4800,3030,Mustard,Grade B,1,4,1500,Mini Truck (Pickup),10,3,0,Overcast,65.9
6,7700,870,Paddy,Grade B,3,8,4000,Tractor Trolley,13,3,0,Clear,34.8
9,11100,450,Paddy,Grade A,3,6,4000,Tractor Trolley,13,3,1,Clear,53.9
7,6800,1320,Wheat,Grade C (High Moisture),2,5,1500,Tractor Trolley,11,2,0,Clear,54.7
11,16500,1600,Mustard,Grade B,2,5,1500,Tractor Trolley,11,3,0,Overcast,82.5
1,1400,370,Paddy,Grade A,2,6,1000,Tractor Trolley,17,4,1,Clear,6.2
8,7200,600,Sugarcane,Grade A,4,9,1500,Tractor Trolley,12,3,0,Heavy Rain,53.8
9,11500,2770,Paddy,Grade A,2,7,4000,Mini Truck (Pickup),10,5,1,Clear,57.5
5,6900,770,Paddy,Grade A,5,12,2500,Tractor Trolley,13,5,0,Clear,18.5
2,2000,900,Cotton,Grade A,4,6,1000,Tractor Trolley,9,1,0,Clear,12.8
2,2600,460,Soybean,Grade B,3,8,1500,Tractor Trolley,9,2,0,Clear,13.4
5,6400,1060,Maize,Grade B,4,12,1000,Truck (6-Wheeler),10,2,0,Clear,24.6
10,10900,1300,Paddy,Grade A,1,6,1500,Tractor Trolley,11,6,1,Heavy Rain,154.2
4,5100,2650,Mustard,Grade A,3,7,1000,Tractor Trolley,12,5,0,Clear,21.7
7,8500,970,Cotton,Grade C (High Moisture),2,12,4000,Tractor Trolley,12,2,0,Clear,69.6
4,4300,1420,Paddy,Grade A,4,4,1000,Truck (6-Wheeler),13,5,1,Clear,32.9
8,8800,920,Wheat,Grade A,2,5,4000,Tractor Trolley,12,1,0,Clear,37.8
9,12500,840,Paddy,Grade B,3,9,1500,Tractor Trolley,11,3,0,Clear,35.4
7,10400,1260,Wheat,Grade B,3,7,1500,Tractor Trolley,10,1,0,Overcast,35.4
3,3500,390,Soybean,Grade C (High Moisture),3,10,1500,Tractor Trolley,16,0,1,Overcast,20.6
9,12400,720,Paddy,Grade C (High Moisture),2,5,1500,Tractor Trolley,10,0,1,Clear,86.6
4,5200,2540,Chana,Grade C (High Moisture),2,5,1500,Mini Truck (Pickup),14,2,1,Overcast,40.5
11,13300,1150,Cotton,Grade A,4,9,500,Mini Truck (Pickup),11,2,1,Clear,56.1
6,7100,1010,Mustard,Grade A,5,6,1000,Mini Truck (Pickup),13,4,0,Overcast,35.1
11,13200,460,Cotton,Grade B,3,6,1500,Bullock Cart,10,0,1,Clear,96.8
10,9500,850,Wheat,Grade A,3,8,1500,Tractor Trolley,11,5,0,Clear,39.5
8,11300,1220,Paddy,Grade A,2,5,1000,Tractor Trolley,13,4,1,Clear,52.1
1,1300,910,Wheat,Grade A,3,8,1000,Mini Truck (Pickup),14,2,0,Clear,10.1
9,11100,1090,Mustard,Grade A,2,9,500,Tractor Trolley,13,3,1,Light Rain,69.6
10,14200,780,Paddy,Grade A,4,9,500,Truck (6-Wheeler),12,0,1,Overcast,58.8
5,4600,670,Maize,Grade A,4,8,1500,Truck (6-Wheeler),14,4,1,Overcast,26.7
9,11700,2790,Wheat,Grade A,3,12,2500,Tractor Trolley,13,6,0,Clear,35.2
7,7300,2640,Wheat,Grade B,2,5,1000,Mini Truck (Pickup),11,1,0,Clear,45.2
16,16600,760,Paddy,Grade B,3,8,1000,Tractor Trolley,11,5,0,Clear,68.9
4,5600,1850,Chana,Grade C (High Moisture),3,6,1500,Tractor Trolley,16,1,1,Clear,32.0
10,10500,3870,Mustard,Grade A,2,11,1000,Bullock Cart,13,3,0,Overcast,75.8
15,21900,1270,Paddy,Grade A,3,8,1500,Tractor Trolley,11,1,1,Clear,60.5
10,14100,1050,Cotton,Grade A,4,12,1500,Tractor Trolley,12,0,0,Clear,36.7
14,16400,330,Wheat,Grade B,3,4,1500,Tractor Trolley,12,1,1,Clear,107.0
9,10600,890,Sugarcane,Grade B,4,10,4000,Tractor Trolley,13,2,0,Clear,33.0
9,10000,1890,Mustard,Grade A,4,9,1000,Tractor Trolley,11,5,0,Clear,39.5
4,5200,1750,Paddy,Grade B,2,10,1500,Mini Truck (Pickup),10,3,0,Clear,31.4
2,2600,1080,Cotton,Grade A,1,4,1500,Mini Truck (Pickup),10,2,1,Clear,36.1
2,2900,920,Wheat,Grade A,3,7,1000,Mini Truck (Pickup),15,3,0,Heavy Rain,34.0
6,8400,1190,Chana,Grade B,3,8,1500,Tractor Trolley,10,3,1,Light Rain,44.1
8,7500,4670,Wheat,Grade A,2,6,2500,Tractor Trolley,10,6,0,Clear,42.2
4,4800,880,Mustard,Grade A,2,7,1500,Tractor Trolley,9,3,0,Overcast,26.5
9,8900,720,Wheat,Grade A,3,7,1000,Truck (6-Wheeler),10,1,0,Clear,43.4
1,1400,580,Mustard,Grade B,3,9,1000,Tractor Trolley,16,1,0,Clear,12.1
9,11400,860,Maize,Grade B,3,4,1000,Tractor Trolley,12,1,1,Clear,74.9
3,4200,830,Mustard,Grade A,2,6,2500,Tractor Trolley,13,0,0,Clear,22.5
8,7600,1150,Cotton,Grade C (High Moisture),2,10,1000,Tractor Trolley,8,1,1,Clear,79.1
3,2900,900,Soybean,Grade A,3,11,1000,Mini Truck (Pickup),8,4,1,Clear,18.5
10,15000,1310,Wheat,Grade A,4,6,1500,Tractor Trolley,13,2,0,Clear,44.8
3,2700,980,Paddy,Grade A,3,7,1500,Mini Truck (Pickup),14,1,0,Clear,14.6
5,6000,830,Wheat,Grade B,2,3,1500,Truck (6-Wheeler),13,3,0,Overcast,65.2
8,9400,580,Sugarcane,Grade A,2,5,2500,Bullock Cart,11,1,0,Clear,54.0
6,7700,550,Paddy,Grade B,3,9,1500,Tractor Trolley,11,6,0,Clear,30.3
9,13400,1160,Mustard,Grade C (High Moisture),2,6,1500,Tractor Trolley,10,0,1,Clear,91.1
4,3900,2040,Mustard,Grade B,3,6,500,Mini Truck (Pickup),10,4,1,Clear,32.6
10,14900,2490,Wheat,Grade A,1,2,1000,Truck (6-Wheeler),11,5,1,Clear,171.3
9,10900,830,Wheat,Grade B,2,8,1500,Mini Truck (Pickup),10,3,0,Clear,53.2
16,16900,580,Paddy,Grade B,2,6,500,Tractor Trolley,11,4,1,Overcast,109.7
13,13100,880,Paddy,Grade A,2,7,1500,Tractor Trolley,11,0,1,Heavy Rain,103.8
9,8200,2500,Wheat,Grade A,3,9,1000,Tractor Trolley,13,5,1,Clear,34.7
8,9100,690,Wheat,Grade B,2,4,1000,Tractor Trolley,13,0,0,Overcast,67.2
15,15700,540,Soybean,Grade A,3,8,1000,Tractor Trolley,10,0,1,Clear,74.2
8,11400,1520,Chana,Grade A,3,7,1500,Mini Truck (Pickup),12,0,0,Clear,34.9
3,3800,1370,Paddy,Grade B,3,8,2500,Tractor Trolley,17,0,0,Overcast,15.6
12,13200,1290,Paddy,Grade B,2,5,1500,Tractor Trolley,13,1,1,Clear,93.5
11,13000,540,Wheat,Grade A,3,10,1000,Tractor Trolley,13,0,1,Clear,40.7
18,17500,1280,Mustard,Grade A,4,2,1500,Tractor Trolley,13,5,1,Clear,107.6
8,11200,600,Maize,Grade B,4,12,1000,Tractor Trolley,13,2,0,Clear,33.9
11,12600,430,Wheat,Grade B,4,7,1000,Bullock Cart,10,5,1,Clear,67.7
5,7500,1140,Wheat,Grade C (High Moisture),4,8,1500,Mini Truck (Pickup),10,3,0,Clear,30.5
8,10400,3570,Maize,Grade B,4,11,4000,Tractor Trolley,9,5,1,Clear,29.8
3,4300,870,Cotton,Grade B,3,11,2500,Mini Truck (Pickup),16,4,0,Light Rain,22.6
6,6700,1550,Wheat,Grade C (High Moisture),2,8,1500,Tractor Trolley,9,5,1,Clear,48.7
5,6300,650,Mustard,Grade A,3,6,1000,Mini Truck (Pickup),11,5,0,Clear,29.5
5,4800,490,Paddy,Grade A,2,7,4000,Tractor Trolley,12,4,0,Overcast,34.5
3,3000,1480,Paddy,Grade B,2,3,1000,Tractor Trolley,12,5,1,Clear,47.2
4,5500,990,Maize,Grade A,4,10,2500,Tractor Trolley,9,6,1,Clear,16.3
5,4700,2100,Maize,Grade A,5,12,1500,Tractor Trolley,16,5,0,Light Rain,19.2
9,12500,5000,Paddy,Grade A,2,3,1000,Tractor Trolley,11,2,1,Clear,89.0
3,2800,720,Chana,Grade B,3,2,2500,Mini Truck (Pickup),14,1,1,Overcast,28.8
1,1300,1590,Paddy,Grade B,2,6,1500,Tractor Trolley,9,3,0,Clear,10.9
6,6500,1270,Maize,Grade A,2,7,1000,Tractor Trolley,8,0,1,Overcast,29.0
17,18800,580,Paddy,Grade A,3,8,1000,Mini Truck (Pickup),12,5,1,Clear,65.9
7,9900,1140,Soybean,Grade A,3,5,2500,Mini Truck (Pickup),12,2,0,Clear,44.6
12,17000,970,Soybean,Grade B,5,12,2500,Tractor Trolley,10,0,1,Overcast,56.1
9,8400,1090,Wheat,Grade A,3,8,2500,Tractor Trolley,12,6,1,Light Rain,50.2
7,6500,1100,Chana,Grade C (High Moisture),5,10,500,Truck (6-Wheeler),11,5,0,Clear,45.0
1,1000,470,Maize,Grade A,2,4,1000,Mini Truck (Pickup),14,4,0,Overcast,8.2
10,14800,430,Maize,Grade A,3,10,2500,Mini Truck (Pickup),11,0,1,Clear,45.4
2,2600,1530,Wheat,Grade A,5,12,1500,Tractor Trolley,8,3,0,Clear,5.8
2,2900,1750,Maize,Grade A,2,6,1000,Tractor Trolley,9,1,0,Clear,13.3
7,6500,2060,Soybean,Grade B,3,4,1500,Tractor Trolley,13,2,0,Clear,63.0
12,15200,1230,Paddy,Grade C (High Moisture),3,6,500,Tractor Trolley,12,5,1,Clear,103.5
10,11900,950,Chana,Grade A,3,3,2500,Mini Truck (Pickup),12,0,1,Clear,69.8
2,2500,1150,Wheat,Grade B,4,8,4000,Mini Truck (Pickup),16,2,0,Clear,15.0
1,1200,710,Wheat,Grade A,3,10,1000,Mini Truck (Pickup),15,1,0,Clear,8.4
1,1200,280,Cotton,Grade A,5,8,1500,Tractor Trolley,8,1,0,Clear,8.8
3,3800,1020,Cotton,Grade B,3,8,2500,Tractor Trolley,11,4,0,Clear,28.9
8,8300,2560,Mustard,Grade A,1,3,2500,Mini Truck (Pickup),10,3,1,Clear,105.6
9,12100,940,Wheat,Grade A,3,8,500,Mini Truck (Pickup),10,0,0,Clear,32.7
4,4000,790,Chana,Grade A,2,2,500,Tractor Trolley,16,2,0,Clear,37.2
3,3300,1370,Wheat,Grade A,3,5,1500,Mini Truck (Pickup),14,0,0,Clear,17.0
8,11200,540,Wheat,Grade A,2,5,1000,Tractor Trolley,11,2,1,Light Rain,63.2
8,11700,610,Wheat,Grade B,3,2,2500,Tractor Trolley,10,1,0,Clear,49.9
4,5600,340,Cotton,Grade A,4,8,1000,Tractor Trolley,15,1,0,Clear,18.5
11,14000,560,Chana,Grade A,2,6,2500,Tractor Trolley,10,5,1,Clear,63.4
9,9500,660,Mustard,Grade A,3,8,2500,Tractor Trolley,10,0,0,Heavy Rain,63.5
7,9000,1280,Maize,Grade A,5,12,1000,Mini Truck (Pickup),13,0,0,Overcast,20.7
7,9600,710,Wheat,Grade B,3,8,1000,Truck (6-Wheeler),14,3,0,Overcast,37.4
12,10900,790,Cotton,Grade C (High Moisture),3,7,1500,Tractor Trolley,10,1,0,Overcast,88.7
5,5300,1150,Paddy,Grade C (High Moisture),2,2,500,Mini Truck (Pickup),12,0,0,Clear,67.6
5,6600,550,Paddy,Grade A,3,6,500,Tractor Trolley,14,2,1,Clear,26.8
3,3400,750,Wheat,Grade C (High Moisture),3,11,1500,Truck (6-Wheeler),16,0,0,Clear,19.2
4,4500,2930,Mustard,Grade A,3,7,1500,Tractor Trolley,14,3,0,Clear,19.0
3,4300,2170,Cotton,Grade A,1,3,1000,Tractor Trolley,8,4,1,Clear,43.8
5,6700,2450,Maize,Grade B,3,10,500,Bullock Cart,12,3,0,Clear,31.5
13,17000,2800,Paddy,Grade A,5,4,2500,Mini Truck (Pickup),12,3,1,Clear,55.0
2,2700,800,Wheat,Grade A,3,6,4000,Tractor Trolley,14,0,0,Clear,11.2
10,13100,1470,Mustard,Grade C (High Moisture),4,12,1000,Bullock Cart,10,1,0,Overcast,51.2
7,7800,1330,Wheat,Grade B,2,8,500,Tractor Trolley,13,0,1,Clear,54.2
6,7900,590,Soybean,Grade A,3,8,1500,Mini Truck (Pickup),10,0,0,Clear,28.3
7,6400,1280,Cotton,Grade B,2,3,1500,Mini Truck (Pickup),12,4,1,Clear,103.6
11,10600,620,Wheat,Grade B,3,4,1000,Tractor Trolley,10,5,1,Clear,78.8
7,9000,1430,Chana,Grade C (High Moisture),2,4,1500,Mini Truck (Pickup),9,2,1,Overcast,79.3
6,8700,1700,Cotton,Grade A,2,7,1000,Tractor Trolley,16,1,1,Overcast,45.8
2,2000,880,Wheat,Grade B,3,9,1500,Tractor Trolley,9,1,0,Clear,13.8
12,11900,980,Mustard,Grade B,3,7,4000,Tractor Trolley,10,2,1,Heavy Rain,113.4
8,10300,1250,Wheat,Grade B,2,4,1500,Bullock Cart,13,0,0,Clear,73.7
10,12800,980,Maize,Grade B,3,7,1000,Tractor Trolley,10,2,0,Clear,48.3
8,10300,1000,Maize,Grade A,3,8,1000,Tractor Trolley,10,0,0,Clear,33.8
6,6600,540,Sugarcane,Grade A,3,5,1500,Mini Truck (Pickup),11,4,0,Clear,35.6
16,22700,480,Cotton,Grade C (High Moisture),3,3,1000,Mini Truck (Pickup),12,0,1,Clear,192.2
7,8500,1220,Paddy,Grade A,2,7,4000,Mini Truck (Pickup),8,5,0,Clear,31.3
6,8000,660,Maize,Grade A,3,10,4000,Truck (6-Wheeler),11,1,0,Clear,29.4
7,7100,890,Wheat,Grade B,3,6,1000,Tractor Trolley,13,5,0,Clear,38.1
11,10200,1090,Cotton,Grade A,3,8,1000,Bullock Cart,10,0,1,Overcast,65.1
5,5800,2580,Cotton,Grade A,3,5,2500,Mini Truck (Pickup),11,2,0,Clear,40.7
8,10700,970,Wheat,Grade A,2,3,500,Mini Truck (Pickup),11,2,1,Clear,74.4
5,6500,1670,Paddy,Grade B,5,8,1500,Tractor Trolley,14,3,0,Overcast,28.3
5,6600,500,Soybean,Grade C (High Moisture),4,5,4000,Tractor Trolley,14,3,0,Overcast,40.0
2,2600,530,Soybean,Grade B,3,9,4000,Tractor Trolley,12,2,0,Overcast,20.9
10,12200,1880,Wheat,Grade A,4,4,1000,Mini Truck (Pickup),11,6,1,Clear,47.5
4,4100,3110,Wheat,Grade C (High Moisture),5,10,1000,Tractor Trolley,12,0,0,Clear,20.9
12,12900,1550,Wheat,Grade A,2,5,1500,Tractor Trolley,10,0,0,Clear,59.2
16,17400,730,Soybean,Grade A,1,4,1500,Mini Truck (Pickup),10,5,1,Light Rain,200.9
3,4000,1160,Wheat,Grade A,3,5,500,Mini Truck (Pickup),9,4,0,Clear,10.7
1,900,390,Mustard,Grade C (High Moisture),4,6,1000,Tractor Trolley,14,4,0,Light Rain,28.5
11,13900,730,Wheat,Grade A,3,6,1000,Tractor Trolley,12,4,0,Overcast,52.9
1,1100,5000,Mustard,Grade B,3,6,1500,Mini Truck (Pickup),14,1,0,Overcast,10.9
2,2600,1700,Paddy,Grade A,3,7,1500,Tractor Trolley,9,1,1,Clear,15.8
8,10200,890,Maize,Grade A,2,7,1500,Truck (6-Wheeler),10,1,1,Clear,62.6
13,11900,970,Wheat,Grade C (High Moisture),2,3,1000,Mini Truck (Pickup),12,5,1,Clear,167.6
9,12900,400,Mustard,Grade B,2,6,1500,Mini Truck (Pickup),12,4,0,Clear,62.7
7,8200,1180,Wheat,Grade B,2,5,1000,Tractor Trolley,12,3,0,Clear,46.6
7,8400,930,Mustard,Grade A,3,7,1000,Tractor Trolley,10,1,0,Clear,38.2
10,9300,1320,Soybean,Grade B,3,4,1000,Bullock Cart,10,2,0,Clear,91.2
9,10400,1720,Wheat,Grade B,2,3,1000,Tractor Trolley,13,3,1,Clear,96.5
5,6400,570,Soybean,Grade A,2,8,4000,Mini Truck (Pickup),11,0,0,Clear,32.9
5,4800,560,Cotton,Grade B,3,8,1500,Tractor Trolley,11,2,0,Clear,27.6
8,8500,1530,Wheat,Grade C (High Moisture),2,8,1500,Mini Truck (Pickup),11,1,1,Overcast,70.5
9,8600,880,Paddy,Grade B,1,7,4000,Tractor Trolley,11,4,1,Clear,116.0
3,3900,340,Wheat,Grade A,3,7,2500,Tractor Trolley,16,5,1,Clear,13.1
9,12500,660,Mustard,Grade B,3,11,2500,Mini Truck (Pickup),10,0,0,Clear,50.4
7,8100,450,Maize,Grade B,1,2,1000,Mini Truck (Pickup),8,2,0,Clear,99.4
10,11000,1020,Wheat,Grade A,2,7,500,Mini Truck (Pickup),12,0,1,Clear,52.1
7,10000,740,Cotton,Grade B,2,6,500,Tractor Trolley,12,2,0,Clear,57.6
8,10100,990,Maize,Grade C (High Moisture),3,5,1500,Tractor Trolley,11,1,0,Clear,67.4
5,7100,1650,Chana,Grade C (High Moisture),4,6,2500,Bullock Cart,10,4,0,Clear,42.9
9,12000,590,Cotton,Grade B,2,5,500,Tractor Trolley,12,0,0,Clear,81.2
5,7000,2210,Chana,Grade A,4,9,1000,Mini Truck (Pickup),15,4,1,Clear,17.7
5,7000,1500,Cotton,Grade C (High Moisture),2,5,500,Truck (6-Wheeler),13,2,0,Clear,62.0
8,9500,460,Paddy,Grade B,2,2,2500,Mini Truck (Pickup),12,0,1,Overcast,101.2
6,8600,2030,Soybean,Grade A,5,12,1500,Tractor Trolley,10,0,0,Clear,18.9
15,15800,2420,Paddy,Grade B,3,8,2500,Bullock Cart,10,2,1,Clear,92.0
3,4400,590,Paddy,Grade B,2,5,1000,Tractor Trolley,11,2,0,Overcast,26.6
9,11600,280,Paddy,Grade A,3,11,1000,Tractor Trolley,10,5,0,Clear,36.4
2,2900,2750,Soybean,Grade C (High Moisture),3,4,1500,Tractor Trolley,14,3,0,Clear,24.3
9,10300,2890,Maize,Grade C (High Moisture),2,2,1000,Tractor Trolley,10,3,0,Clear,119.4
4,6000,350,Paddy,Grade A,4,11,4000,Bullock Cart,8,4,0,Light Rain,24.1
6,7100,340,Paddy,Grade C (High Moisture),3,10,1000,Tractor Trolley,12,6,0,Clear,37.4
9,11700,700,Paddy,Grade C (High Moisture),3,5,2500,Tractor Trolley,10,0,1,Overcast,84.7
7,7800,1170,Cotton,Grade A,3,7,1500,Tractor Trolley,12,1,1,Clear,50.1
14,19400,360,Wheat,Grade A,3,6,1000,Mini Truck (Pickup),13,1,1,Clear,66.5
13,17100,360,Maize,Grade A,2,9,1000,Tractor Trolley,12,1,1,Overcast,82.6
9,11000,1870,Paddy,Grade A,3,5,1500,Tractor Trolley,11,0,0,Clear,53.9
8,8100,410,Paddy,Grade B,5,12,4000,Tractor Trolley,12,1,0,Clear,30.5
5,6800,1710,Wheat,Grade A,4,8,4000,Tractor Trolley,11,4,0,Clear,20.5
3,3200,940,Wheat,Grade C (High Moisture),5,4,1000,Tractor Trolley,16,0,1,Clear,17.5
2,2100,1670,Chana,Grade C (High Moisture),2,6,500,Truck (6-Wheeler),16,0,0,Clear,22.0
12,17500,950,Paddy,Grade A,1,4,1500,Mini Truck (Pickup),10,5,1,Clear,119.8
8,10400,620,Wheat,Grade A,3,10,2500,Tractor Trolley,10,3,0,Overcast,33.2
3,2700,1910,Paddy,Grade B,3,3,1000,Mini Truck (Pickup),9,6,1,Clear,27.3
4,4900,1960,Paddy,Grade B,2,8,1000,Tractor Trolley,9,1,0,Clear,26.8
2,2700,1510,Wheat,Grade A,2,8,1500,Mini Truck (Pickup),8,2,0,Clear,10.1
4,5300,1390,Paddy,Grade A,2,8,2500,Tractor Trolley,16,0,0,Clear,23.9
9,11400,820,Cotton,Grade A,2,11,1500,Tractor Trolley,12,5,1,Clear,75.3
6,8300,650,Cotton,Grade A,4,6,1500,Mini Truck (Pickup),11,5,0,Clear,40.3
5,6800,1400,Paddy,Grade C (High Moisture),2,2,2500,Bullock Cart,12,2,0,Clear,76.8
2,2400,1730,Paddy,Grade A,2,8,2500,Tractor Trolley,9,5,1,Overcast,20.3
9,12900,3080,Chana,Grade A,2,4,2500,Tractor Trolley,12,3,1,Light Rain,85.6
1,1400,1270,Paddy,Grade B,3,8,1000,Bullock Cart,14,1,0,Clear,3.5
11,12100,740,Wheat,Grade A,3,12,4000,Tractor Trolley,11,2,0,Clear,35.0
5,5700,970,Wheat,Grade A,1,5,500,Tractor Trolley,13,2,0,Light Rain,55.8
9,9000,2740,Paddy,Grade B,2,7,500,Mini Truck (Pickup),12,3,0,Clear,54.6
6,5400,1220,Maize,Grade B,2,3,2500,Tractor Trolley,9,3,1,Clear,68.2
2,2400,1110,Wheat,Grade A,3,6,1000,Tractor Trolley,14,4,0,Clear,13.8
7,6900,1660,Mustard,Grade A,3,4,4000,Mini Truck (Pickup),12,3,0,Overcast,54.9
9,10200,1510,Wheat,Grade A,2,7,500,Tractor Trolley,10,1,0,Clear,41.1
7,8400,1760,Paddy,Grade A,3,10,1500,Mini Truck (Pickup),9,4,0,Overcast,28.0
3,4400,1280,Maize,Grade B,1,2,1000,Mini Truck (Pickup),14,0,0,Overcast,47.9
9,10100,2330,Paddy,Grade A,3,4,4000,Tractor Trolley,12,0,0,Light Rain,67.0
3,4100,830,Cotton,Grade A,2,4,1500,Tractor Trolley,15,0,0,Clear,28.9
3,3700,2360,Wheat,Grade B,1,2,1500,Truck (6-Wheeler),8,0,1,Clear,58.1
10,9900,690,Maize,Grade C (High Moisture),2,4,1000,Tractor Trolley,11,4,1,Clear,111.3
0,0,580,Wheat,Grade B,3,5,1000,Truck (6-Wheeler),14,5,0,Clear,3.0
6,8000,2200,Soybean,Grade A,2,9,1000,Tractor Trolley,9,3,1,Clear,41.4
5,6000,770,Wheat,Grade A,2,5,500,Tractor Trolley,14,4,0,Clear,28.4
5,5300,710,Soybean,Grade A,3,9,2500,Mini Truck (Pickup),12,4,1,Clear,31.6
9,11000,920,Paddy,Grade B,2,4,2500,Truck (6-Wheeler),12,0,0,Overcast,90.7
10,13700,1850,Mustard,Grade B,5,12,1500,Mini Truck (Pickup),12,5,1,Clear,43.4
3,4200,3580,Paddy,Grade A,2,7,500,Tractor Trolley,15,3,0,Clear,15.9
4,5900,3130,Soybean,Grade A,2,7,1500,Tractor Trolley,11,3,0,Clear,27.5
5,4700,3110,Wheat,Grade A,1,5,1000,Tractor Trolley,8,0,0,Light Rain,54.6
7,8100,1330,Wheat,Grade A,3,5,500,Tractor Trolley,11,4,1,Clear,42.6
14,18800,1430,Paddy,Grade C (High Moisture),3,7,500,Mini Truck (Pickup),11,2,1,Clear,98.7
4,3700,630,Wheat,Grade A,2,4,1000,Truck (6-Wheeler),16,0,0,Clear,36.8
14,18300,990,Wheat,Grade A,2,5,500,Mini Truck (Pickup),10,0,0,Light Rain,71.9
20,21800,2400,Chana,Grade B,1,3,1000,Tractor Trolley,11,2,1,Overcast,240.0
7,6400,1790,Sugarcane,Grade A,2,5,500,Tractor Trolley,12,5,0,Clear,46.3
9,11700,640,Paddy,Grade A,4,11,1500,Mini Truck (Pickup),12,2,0,Clear,30.1
4,5100,390,Chana,Grade A,2,6,1500,Mini Truck (Pickup),10,4,1,Clear,28.6
12,17900,1130,Cotton,Grade B,5,9,2500,Mini Truck (Pickup),11,5,0,Overcast,59.9
3,3900,2260,Wheat,Grade A,4,11,1000,Mini Truck (Pickup),9,1,0,Clear,8.5
13,12100,1090,Mustard,Grade A,1,6,4000,Mini Truck (Pickup),11,4,1,Clear,167.8
6,6500,510,Mustard,Grade A,1,2,1500,Truck (6-Wheeler),11,0,0,Clear,114.0
4,5200,470,Sugarcane,Grade B,2,9,2500,Bullock Cart,15,4,0,Clear,30.1
7,8600,1720,Wheat,Grade A,1,3,1500,Mini Truck (Pickup),12,2,0,Clear,58.5
5,5500,2030,Mustard,Grade B,5,8,4000,Tractor Trolley,11,0,0,Clear,31.9
11,13600,1280,Wheat,Grade A,1,4,1500,Mini Truck (Pickup),11,6,0,Clear,86.9
